id,gameId,playerId,breakScore,round1,round2,final,coryat,playerId,wins
9153,2379,4767,2400,4000,16200,31200,13200,4767,1
5586,1185,2414,5200,6200,21200,31200,19800,2414,5
10461,3385,6749,3200,7000,16200,31200,16200,6749,3
6013,2950,5910,2400,4200,16200,31200,16200,5910,2
12362,4293,8608,6000,7800,31200,31200,25400,8608,6
6583,3214,6484,2200,5600,17000,31200,18800,6484,2
6687,4968,9749,1800,2800,15600,31200,14400,9749,1
12393,4253,8554,3400,3600,15600,31199,15600,8554,4
10576,3340,6735,2800,4600,15600,31199,17000,6735,2
10889,3179,6421,1000,4400,15600,31199,16400,6421,3
10810,3224,6505,1000,6000,20800,31001,21000,6505,2
13052,4578,9234,3800,7200,17600,31001,17600,9234,3
8402,1814,3659,3800,4600,16800,31000,15800,3659,5
2836,3710,3942,3300,5200,20800,31000,15000,3942,3
5846,2923,5870,2800,6600,26000,31000,23800,5870,2
5996,974,1986,3000,5600,15900,30900,14000,1986,2
8231,1971,3974,3000,7400,29200,30801,28200,3974,1
8467,1785,3595,2400,6400,22500,30801,19600,3595,3
6097,2611,5233,3600,7000,16200,30801,16200,5233,2
11030,3687,7411,200,-400,15600,30801,13600,7411,1
13968,4867,9790,3400,6800,18500,30801,15200,9790,1
11740,3925,7873,2200,9000,16200,30801,14200,7873,3
14386,4680,9409,0,5200,23200,30801,23400,9409,4
12188,3770,7578,3600,7800,17800,30801,17800,7578,1
14656,5147,10350,400,6000,19200,30801,18400,10350,2
12403,4245,8522,6400,8800,19400,30801,19200,8522,8
8180,515,1066,1800,2400,16400,30801,16400,1066,1
7668,969,1959,1600,3200,17400,30800,16800,1959,3
10830,3213,6472,3400,8000,21300,30800,21000,6472,3
12240,3753,7550,4600,6800,20800,30800,18400,7550,1
13183,4511,9037,5800,11600,30400,30800,28200,9037,20
13903,4890,9835,4000,12200,15400,30800,12800,9835,5
6803,4655,9387,5600,7800,25400,30800,20600,9387,2
10961,3135,6332,1200,3800,15800,30799,15800,6332,1
8785,1320,2681,3600,7800,15400,30798,15400,2681,4
9250,2325,4667,5600,15600,50000,30601,33600,4667,2
10817,3222,6502,1400,5200,23400,30601,19600,6502,1
8952,2538,5073,3800,7000,15600,30600,14600,5073,1
1159,128,262,2100,3700,20500,30600,11100,262,5
13350,4442,8955,5600,7200,30600,30600,28400,8955,5
13714,4310,8608,1000,4600,26600,30600,22200,8608,6
12982,3987,8012,4200,11400,28200,30570,27200,8012,7
8480,1781,3593,3200,7600,21000,30500,20800,3593,1
9772,2991,5987,600,2600,15600,30500,13800,5987,5
10206,2720,5458,3000,5600,15400,30401,18200,5458,2
13210,4503,9010,8800,15000,18600,30401,21200,9010,3
14148,4783,9626,2200,4200,17800,30401,17800,9626,1
8066,608,1243,2200,6800,20600,30401,19600,1243,2
8522,1765,3561,1800,3000,19000,30401,19000,3561,1
9944,2906,5834,2200,8400,15600,30401,15400,5834,1
10628,3318,6689,600,1600,15400,30400,12400,6689,1
11254,3599,7246,8000,11600,29200,30400,25600,7246,5
12720,4075,8172,5000,9400,16200,30400,14400,8172,3
8869,1253,2545,400,1800,15200,30400,11800,2545,4
8889,1233,2509,1000,3600,15400,30400,12400,2509,1
8041,627,1285,5600,9400,22200,30399,17600,1285,4
10735,3261,6573,4700,8700,15200,30398,16200,6573,4
10178,2747,5515,2600,6400,15200,30393,16347,5515,2
5910,819,1665,1200,1000,15300,30300,15000,1665,1
11066,3668,7382,200,6600,29800,30201,23800,7382,3
8648,1502,3044,3200,7200,25200,30200,21600,3044,3
11059,3669,7382,4200,12600,25200,30200,19800,7382,3
12067,3813,7661,5400,11800,27200,30200,27200,7661,2
13104,4556,9165,2600,8600,19600,30200,17800,9165,1
13142,4537,9139,3600,8000,15200,30200,15000,9139,2
8312,1895,3816,3000,5600,20400,30100,19200,3816,4
6832,453,861,3600,4400,18000,30001,15400,861,19
13822,4927,9915,1800,4400,21800,30001,18000,9915,5
7727,918,1870,2400,5000,16900,30001,19000,1870,3
14475,5225,10516,1000,3200,18000,30001,18000,10516,1
9243,2329,4675,6600,11000,29200,30001,26800,4675,1
5654,1358,2759,2000,7600,16300,30001,18400,2759,2
10285,3445,6939,4600,7600,17800,30001,15400,6939,3
6145,2587,5161,4200,7600,24400,30001,24400,5161,3
10724,3266,6591,2000,3800,21600,30001,19400,6591,1
10838,3209,6461,1600,4400,17600,30001,17600,6461,2
11901,3869,7764,1600,3200,15400,30001,10000,7764,1
7372,47,1,3000,3200,26800,30000,24400,1,74
9856,2962,5931,7800,12000,18000,30000,21600,5931,3
6199,2731,1,9200,14000,26800,30000,22600,1,74
14860,5053,10171,1800,5000,26600,30000,20600,10171,13
7754,891,1816,1600,5600,27200,30000,20200,1816,2
11903,3868,7763,2600,11200,26400,30000,18000,7763,1
7393,40,1,4800,11000,25600,30000,26600,1,74
9957,2897,5816,3800,9400,15000,30000,14800,5816,1
6268,1619,1,6200,9400,27000,30000,25400,1,74
14863,5052,10171,5000,10000,35000,30000,29200,10171,13
8086,594,1220,4400,8700,37900,30000,27800,1220,5
11911,3865,7752,3000,4800,15000,30000,13400,7752,3
7396,39,1,2800,5600,26600,30000,21200,1,74
10153,2756,5526,4200,9000,29000,30000,28200,5526,4
6295,1551,1,2600,7600,24800,30000,24400,1,74
8533,1761,3550,3600,5000,15600,30000,10200,3550,2
12772,4057,8141,1400,5200,22000,30000,19600,8141,5
7405,36,1,5800,10400,27200,30000,27800,1,74
10520,3360,6779,2000,6400,26000,30000,23800,6779,1
6439,3316,6356,4200,10600,29400,30000,29800,6356,2
8538,1760,3550,5000,8000,25700,30000,22000,3550,2
13303,4457,8989,3200,7000,28200,30000,24200,8989,2
7438,25,1,4400,14000,45000,30000,36400,1,74
10967,3712,7466,5500,12100,27200,30000,25800,7466,6
7023,282,361,5000,7000,21000,30000,21000,361,5
8795,1310,2663,3600,5400,26000,30000,21800,2663,1
5572,2145,2414,2800,9600,20000,30000,19000,2414,5
13436,4409,8886,2000,7000,26000,30000,28600,8886,1
7486,9,1,3800,9000,23600,30000,20400,1,74
10983,3704,7448,2600,6800,26200,30000,24800,7448,1
7360,51,107,3600,8000,26400,30000,27600,107,1
9048,2470,4914,1400,3800,15000,30000,15000,4914,3
6084,2621,5254,0,2200,19600,30000,18600,5254,1
14158,4778,9614,3200,5200,19800,30000,15200,9614,5
7498,5,1,5800,13600,28600,30000,28600,1,74
11154,3636,7324,7400,10200,29200,30000,30000,7324,1
8380,1842,3699,4200,7600,24000,29999,21200,3699,3
10329,3430,6908,4400,8000,30000,29999,22200,6908,1
7426,29,1,7500,11300,24800,29900,22400,1,74
11663,3965,7966,3400,5800,15400,29900,14600,7966,1
6141,2591,5187,2600,4200,22400,29801,19000,5187,1
8895,2581,5162,1000,2600,19800,29800,19400,5162,1
11001,3697,7435,2400,4200,17800,29800,17800,7435,1
13549,4365,8797,4200,7000,14900,29800,17400,8797,3
14269,4729,9511,5000,7400,29800,29800,25600,9511,3
9728,3014,6042,5400,11100,15900,29799,13400,6042,2
6292,1552,1,4000,6600,32400,29799,30400,1,74
9093,2438,4883,4400,5000,15800,29799,15600,4883,1
9384,2227,4475,1400,5800,14900,29750,15000,4475,1
9718,3017,6048,4200,5800,15800,29700,13400,6048,7
11149,3637,7329,1000,3000,19800,29700,18600,7329,3
13243,4481,9037,3800,9400,20600,29700,20600,9037,20
13579,4355,8773,2000,3800,21000,29601,20200,8773,2
12490,4196,8423,1400,5200,19600,29601,17400,8423,4
13918,4885,9815,3200,0,16500,29601,17600,9815,7
7450,21,1,1200,7600,19700,29601,17600,1,74
8719,1406,2866,600,3600,14801,29601,12000,2866,3
10997,3699,7439,2400,3200,18800,29601,18800,7439,1
11023,3689,7412,3600,4800,16200,29601,15200,7412,2
13119,4550,9156,4200,4800,15200,29601,15200,9156,3
12053,3817,7671,3000,6600,15500,29601,14800,7671,3
5632,2653,5317,4800,8400,17600,29600,19600,5317,2
8577,1690,3413,1800,4200,24600,29600,24200,3413,1
8754,1379,2808,2600,4800,21600,29600,21600,2808,1
11986,3841,7671,3800,4600,19600,29600,19400,7671,3
13902,4891,9839,3000,4000,14800,29600,14200,9839,1
14750,5103,10274,10600,12400,29600,29600,12000,10274,4
10984,3702,7438,3600,6600,26000,29599,22200,7438,4
11167,3631,7308,2200,4800,15400,29401,14400,7308,4
10173,2749,5518,3400,7200,14800,29353,14000,5518,1
9715,3019,6048,3400,5600,25800,29300,21600,6048,7
11984,3840,7707,4000,6600,16000,29300,14600,7707,4
12031,3825,7682,1400,7000,25800,29300,22400,7682,2
8217,1984,3993,1800,4600,15300,29300,19400,3993,2
8470,1784,3595,3200,3400,29200,29300,29200,3595,3
7348,55,98,1400,7400,28200,29241,27400,98,4
13568,4359,8787,1600,1300,20200,29210,20000,8787,1
14236,4741,9550,2000,6200,16400,29203,17600,9550,1
8608,1640,3314,2800,2600,14601,29201,12200,3314,2
11088,3658,7362,1400,6400,25000,29201,22400,7362,2
11955,3851,7728,1600,4800,16000,29201,16000,7728,1
12320,3721,7484,600,3000,16000,29201,17000,7484,1
12553,4161,8360,3200,5000,18000,29201,17000,8360,2
7292,74,144,1600,3000,16100,29201,16600,144,2
8691,1448,2937,2800,6000,15200,29200,15200,2937,1
11127,3645,7336,5800,7000,22200,29200,19000,7336,1
12257,3747,7537,2800,8000,15200,29200,14000,7537,2
6202,2730,1,3800,10800,40600,29200,33200,1,74
7936,711,1445,1200,3200,14600,29200,11200,1445,6
12931,4004,8036,5000,6400,25200,29199,17600,8036,7
6427,3156,6290,4000,11400,17200,29199,17200,6290,5
14803,5076,10219,5800,9600,23000,29101,28800,10219,3
6383,3183,6429,2800,4800,16000,29100,15600,6429,1
8089,592,1220,2000,4800,16900,29100,15800,1220,5
12292,3734,7490,4000,12400,26400,29100,23800,7490,7
11411,3542,7139,3600,4000,16400,29001,16400,7139,1
13751,4982,10022,1800,6200,17600,29001,12200,10022,5
5911,3066,6170,4000,7000,19600,29001,19800,6170,1
11958,3850,7726,1800,8600,17000,29000,15800,7726,1
6177,897,1827,3400,7200,29000,29000,21600,1827,1
6847,442,861,5800,8000,28000,29000,24800,861,19
7330,61,1,6000,9200,23200,29000,22600,1,74
8057,613,1257,4000,10800,26000,29000,25600,1257,3
8329,1878,3769,7800,12400,27800,29000,26200,3769,5
11638,3462,6976,3000,10800,26800,29000,23200,6976,6
7826,822,1673,2400,9789,23906,28906,13400,1673,1
8081,598,1240,5900,7100,21700,28900,16800,1240,1
8541,1759,3548,1600,4200,15700,28900,15400,3548,1
9992,2872,5765,800,4600,17400,28900,17000,5765,1
6598,3202,6462,7800,11800,23200,28850,24200,6462,3
10592,3334,6724,800,3800,14600,28801,14600,6724,4
