id,correct,amount
13071,1,2366
13099,0,1000
13126,1,2000
13138,1,2000
13158,1,200
13192,1,4000
13196,0,3200
13262,1,5000
13263,0,4600
13294,1,600
13312,0,400
13324,1,2400
13354,0,800
13365,1,800
13374,1,2000
13417,1,1600
13427,1,7000
13447,1,2000
13503,1,1000
13507,1,2000
13522,1,1000
13560,1,3000
13563,1,3000
13604,1,1800
13613,1,5000
13637,0,1000
13653,1,1000
13679,1,2000
13682,0,4000
13717,1,2800
13740,1,5000
13749,1,1400
13763,1,2600
13786,1,4000
13791,1,1600
13834,1,800
13857,0,3600
13859,0,2000
13898,1,1200
13926,1,4000
13930,0,1600
13955,1,1200
13973,1,4000
13982,0,2200
14016,0,800
14044,1,3600
14055,1,2800
14088,0,1600
14103,0,1200
14146,1,1000
14160,0,2000
14167,1,3000
14191,1,1200
14224,0,1400
14279,0,2000
14306,0,1600
14318,1,2000
14337,1,1600
14382,1,2000
14386,1,1000
14403,1,600
14429,1,4000
14443,1,1200
14458,0,1200
14489,0,2000
14492,1,2600
14526,0,1800
14551,1,4000
14554,1,4800
14592,0,1000
14609,1,3400
14654,1,1400
14672,1,3000
14682,1,2000
14711,0,600
14730,1,2000
14733,1,1000
14763,0,1800
14793,1,5000
14794,0,200
14828,1,800
14854,0,6800
14856,0,2000
14873,0,2000
14904,0,2000
14907,1,800
14929,1,1000
14954,1,2000
14990,1,1000
15019,1,2400
15029,1,2400
15062,0,2000
15097,0,1400
15099,1,5600
15125,0,2000
15144,1,1600
15150,0,2000
15179,1,1600
15197,0,2600
15202,1,1200
15231,1,600
15253,1,2000
15264,1,800
15285,1,1000
15306,1,2000
15313,1,2400
15342,1,1000
15344,1,1000
15365,1,1000
15398,0,1000
15426,1,4000
15429,1,2400
15477,1,4200
15482,0,2000
15522,1,1200
15539,1,5000
15552,0,2600
15565,1,1800
15596,1,2000
15601,0,5600
15637,1,1600
15654,1,15800
15659,1,5000
15679,1,1000
15718,0,2000
15727,1,8000
15758,0,1000
15784,1,3200
15789,0,800
15804,1,1200
15827,1,2000
15834,0,3000
15872,1,2000
15895,1,4000
15897,0,4000
15925,0,4200
15948,1,200
15949,0,2000
15983,1,2000
16011,1,2000
16015,1,3000
16051,0,2600
16070,1,2000
16071,1,1600
16108,0,1000
16138,1,2000
16145,0,4000
16166,1,1000
16194,0,2000
16203,0,2000
16219,1,400
16246,0,1200
16256,1,4000
16286,1,1600
16295,1,3000
16299,0,7000
16342,1,1000
16368,1,3200
16376,1,2600
16412,1,1000
16429,1,6400
16430,1,2000
16459,0,1000
16480,0,2000
16484,1,3400
16516,1,1000
16544,1,4000
16549,1,4000
16563,0,2400
16592,1,1400
16602,0,2000
16621,1,1200
16642,1,400
16661,1,1000
16692,1,800
16714,0,200
16715,1,1600
16753,0,1600
16762,0,2000
16777,1,2800
16795,1,1600
16829,1,2000
16831,1,2000
16863,1,1600
16884,1,1800
16893,1,4000
16915,1,1400
16941,1,16000
16944,1,8000
16992,0,1000
17015,1,1800
17016,1,2800
17045,1,2000
17070,0,2000
17075,1,2000
17119,1,2200
17131,1,5000
17133,0,2000
17164,1,800
17196,1,3000
17200,1,6000
17224,1,1000
17250,1,8000
17258,1,1800
17298,1,2200
17326,0,8200
17333,0,4400
17362,1,800
17389,1,1600
17398,1,2000
17424,1,1000
17461,0,4000
17465,1,2000
17501,1,200
17525,1,4000
17535,0,5000
17563,0,1800
17592,0,4000
17593,0,3000
17630,1,1200
17650,1,4800
17651,1,7800
17689,1,2000
17713,1,8200
17725,1,4000
17754,1,3600
